NOMBRE,LINK,2020,2019,EXPEDIENTE,TIPO COMPAÑIA,ACTIVIDAD ECONÓMICA,REGION,PROVINCIA,CIUDAD,TAMAÑO,SECTOR,CANT. EMPLEADOS,ACTIVO2020,PATRIMONIO2020,INGRESOS POR VENTA2020,UTILIDAD ANTES DE 2020,UTILIDAD DEL EJERCICIO2020,UTILIDAD NETA2020,IR CAUSADO2020,INGRESO TOTAL2020
CORPORACION FAVORITA C.A.,https://ec.linkedin.com/company/corporacionfavorita?trk=companies_directory,1.0,1,384.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,10768.0,2121860458.59,1482973135.0,2170602774.0,187168402.3,220198120.31,147499234.25,41971212.0,2170602774.93
ECUACORRIENTE,https://www.linkedin.com/company/ecuacorriente-s.a./,2.0,4,6796.0,ANÓNIMA,"B0729.01 - EXTRACCIÓN Y PREPARACIÓN DE MINERALES ESTIMADOS PRINCIPALMENTE POR SU CONTENIDO DE METALES NO FERROSOS: ALUMINIO (BAUXITA), COBRE, PLOMO, ZINC, ESTAÑO, MANGANESO, CROMO, NÍQUEL, COBALTO, MOLIBDENO, TÁNTALO, VANADIO, ETCÉTERA.",ORIENTE,ZAMORA CHINCHIPE                                  ,EL PANGUI                                         ,GRANDE,SOCIETARIO,966.0,1607423376.0,568986647.0,245102965.54899994,-1387158.7,0.0,-2633855.7,1246697.02,0.0
AURELIAN ECUADOR,https://www.linkedin.com/company/lundin-gold/?originalSubdomain=ec,3.0,3,93144.0,ANÓNIMA,"B0899.09 - EXTRACCIÓN DE OTROS MINERALES: ASBESTO, POLVO DE FÓSILES SILÍCEOS, ESTEATITA (TALCO), VERMICULITA, PEOLITA, CLORITA, ANTIMONIO, MAGNESITA, SILICATO DE MAGNESIO (POLVO), SILICIO, ETCÉTERA",ORIENTE,ZAMORA CHINCHIPE                                  ,LOS ENCUENTROS                                    ,GRANDE,SOCIETARIO,1451.0,1599727165.0,605293529.0,358792587.0,-49399080.0,-49399080.0,-49399080.0,4077977.3878,358823965.0
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES CONECEL,https://ec.linkedin.com/company/conecel?trk=companies_directory,5.0,5,47845.0,ANÓNIMA,"J6120.01 - OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,2844.0,1217718379.0,264709114.0,1066241897.0,174644376.0,204823940.0,106826750.0,67817626.0,1071561214.0
CORPORACION QUIPORT,https://ec.linkedin.com/company/quiport?trk=companies_directory,7.0,8,93325.0,ANÓNIMA,"M7020.04 - PRESTACIÓN DE ASESORAMIENTO Y AYUDA A LAS EMPRESAS Y LAS ADMINISTRACIONES PÚBLICAS EN MATERIA DE PLANIFICACIÓN, ORGANIZACIÓN, EFICIENCIA Y CONTROL, INFORMACIÓN ADMINISTRATIVA, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,70.0,814067849.0,212852599.0,1249085559.0,-27053323.0,-27053323.1,-27053323.0,4077977.3878,83530647.9
CORPORACION EL ROSADO,https://ec.linkedin.com/company/elrosado?trk=companies_directory,8.0,9,2913.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,7334.0,754024531.84,283755098.2,1249085559.0,39246084.65,46171864.3,27622934.68,11328623.69,1265116683.48
HIDALGO E HIDALGO,https://www.linkedin.com/company/grupo-hidalgo-e-hidalgo/,9.0,11,10532.0,ANÓNIMA,"F4210.11 - CONSTRUCCIÓN DE CARRETERAS, CALLES, CARRETERAS, Y OTRAS VÍAS PARA VEHÍCULOS O PEATONES.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,1144.0,749530535.0,652393996.0,115979619.0,33867923.1,39844616.0,26384065.2,7483857.89,158895431.0
OTECEL,https://www.linkedin.com/company/movistarecuador/people/?facetGeoRegion=ec%3A0,10.0,6,47972.0,ANÓNIMA,"J6120.01 - OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,905.0,745272999.6,230674502.0,444508999.7,-21301000.0,-21301626.91,-17245260.43,4077977.3878,468804782.94
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,https://ec.linkedin.com/company/pronaca?trk=companies_directory,11.0,10,7154.0,ANÓNIMA,"C1010.11 - EXPLOTACIÓN DE MATADEROS QUE REALIZAN ACTIVIDADES DE SACRIFICIO, FAENAMIENTO, PREPARACIÓN, PRODUCCIÓN Y EMPACADO DE CARNE FRESCA REFRIGERADA O CONGELADA EN CANALES O PIEZAS O PORCIONES INDIVIDUALES DE: BOVINO, PORCINO, OVINO, CAPRINO.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,6951.0,710696211.38,439938112.4,832519348.1,32541767.55,38361799.15,25733872.82,9633338.11,832519348.17
INDUSTRIAL PESQUERA SANTA PRISCILA,https://ec.linkedin.com/company/santapriscilaec?trk=companies_directory,12.0,18,22576.0,ANÓNIMA,"A0321.02 - EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,7200.0,585858502.0,365048051.0,578607173.0,31298824.8,34006893.0,28169369.6,3129455.17,598284336.0
