NOMBRE,LINK,2020,2019,EXPEDIENTE,TIPO COMPAÑIA,ACTIVIDAD ECONÓMICA,REGION,PROVINCIA,CIUDAD,TAMAÑO,SECTOR,CANT. EMPLEADOS,ACTIVO2020,PATRIMONIO2020,INGRESOS POR VENTA2020,UTILIDAD ANTES DE 2020,UTILIDAD DEL EJERCICIO2020,UTILIDAD NETA2020,IR CAUSADO2020,INGRESO TOTAL2020
CORPORACION FAVORITA C.A.,https://ec.linkedin.com/company/corporacionfavorita?trk=companies_directory,1.0,1,384.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,10768.0,2121860458.59,"1,482,973,135.","2,170,602,774.","187,168,402.3","220,198,120.31",147499234.25,"41,971,212.00","2,170,602,774.93"
ECUACORRIENTE,https://www.linkedin.com/company/ecuacorriente-s.a./,2.0,4,6796.0,ANÓNIMA,"B0729.01 - EXTRACCIÓN Y PREPARACIÓN DE MINERALES ESTIMADOS PRINCIPALMENTE POR SU CONTENIDO DE METALES NO FERROSOS: ALUMINIO (BAUXITA), COBRE, PLOMO, ZINC, ESTAÑO, MANGANESO, CROMO, NÍQUEL, COBALTO, MOLIBDENO, TÁNTALO, VANADIO, ETCÉTERA.",ORIENTE,ZAMORA CHINCHIPE                                  ,EL PANGUI                                         ,GRANDE,SOCIETARIO,966.0,1607423376.0,"568,986,647.0",0.00,"-1,387,158.70",0.00,-2633855.7,"1,246,697.02",0.00
AURELIAN ECUADOR,https://www.linkedin.com/company/lundin-gold/?originalSubdomain=ec,3.0,3,93144.0,ANÓNIMA,"B0899.09 - EXTRACCIÓN DE OTROS MINERALES: ASBESTO, POLVO DE FÓSILES SILÍCEOS, ESTEATITA (TALCO), VERMICULITA, PEOLITA, CLORITA, ANTIMONIO, MAGNESITA, SILICATO DE MAGNESIO (POLVO), SILICIO, ETCÉTERA",ORIENTE,ZAMORA CHINCHIPE                                  ,LOS ENCUENTROS                                    ,GRANDE,SOCIETARIO,1451.0,1599727165.0,"605,293,529.0","358,792,587.0","-49,399,080.0","-49,399,080.00",-49399080.0,0.00,"358,823,965.00"
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES CONECEL,https://ec.linkedin.com/company/conecel?trk=companies_directory,5.0,5,47845.0,ANÓNIMA,"J6120.01 - OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,2844.0,1217718379.0,"264,709,114.0","1,066,241,897.","174,644,376.0","204,823,940.00",106826750.0,"67,817,626.00","1,071,561,214.00"
CORPORACION QUIPORT,https://ec.linkedin.com/company/quiport?trk=companies_directory,7.0,8,93325.0,ANÓNIMA,"M7020.04 - PRESTACIÓN DE ASESORAMIENTO Y AYUDA A LAS EMPRESAS Y LAS ADMINISTRACIONES PÚBLICAS EN MATERIA DE PLANIFICACIÓN, ORGANIZACIÓN, EFICIENCIA Y CONTROL, INFORMACIÓN ADMINISTRATIVA, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,70.0,814067849.0,"212,852,599.0","17,650,644.20","-27,053,323.0","-27,053,323.10",-27053323.0,0.00,"83,530,647.90"
CORPORACION EL ROSADO,https://ec.linkedin.com/company/elrosado?trk=companies_directory,8.0,9,2913.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,,754024531.84,"283,755,098.2","1,249,085,559.","39,246,084.65","46,171,864.30",27622934.68,"11,328,623.69","1,265,116,683.48"
HIDALGO E HIDALGO,https://www.linkedin.com/company/grupo-hidalgo-e-hidalgo/,9.0,11,10532.0,ANÓNIMA,"F4210.11 - CONSTRUCCIÓN DE CARRETERAS, CALLES, CARRETERAS, Y OTRAS VÍAS PARA VEHÍCULOS O PEATONES.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,1144.0,749530535.0,"652,393,996.0","115,979,619.0","33,867,923.10","39,844,616.00",26384065.2,"7,483,857.89","158,895,431.00"
OTECEL,https://www.linkedin.com/company/movistarecuador/people/?facetGeoRegion=ec%3A0,10.0,6,47972.0,ANÓNIMA,"J6120.01 - OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,905.0,745272999.6,"230,674,502.0","444,508,999.7","-21,301,000.0","-21,301,626.91",-17245260.43,0.00,"468,804,782.94"
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,https://ec.linkedin.com/company/pronaca?trk=companies_directory,11.0,10,7154.0,ANÓNIMA,"C1010.11 - EXPLOTACIÓN DE MATADEROS QUE REALIZAN ACTIVIDADES DE SACRIFICIO, FAENAMIENTO, PREPARACIÓN, PRODUCCIÓN Y EMPACADO DE CARNE FRESCA REFRIGERADA O CONGELADA EN CANALES O PIEZAS O PORCIONES INDIVIDUALES DE: BOVINO, PORCINO, OVINO, CAPRINO.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,6951.0,710696211.38,"439,938,112.4","832,519,348.1","32,541,767.55","38,361,799.15",25733872.82,"9,633,338.11","832,519,348.17"
INDUSTRIAL PESQUERA SANTA PRISCILA,https://ec.linkedin.com/company/santapriscilaec?trk=companies_directory,12.0,18,22576.0,ANÓNIMA,"A0321.02 - EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,7200.0,585858502.0,"365,048,051.0","578,607,173.0","31,298,824.80","34,006,893.00",28169369.6,"3,129,455.17","598,284,336.00"
